eruptionID,primaryID,time,exact,ns,ie,E,A,q,webcam,durationSec
809265,809265,1451607840,1,0,0,0,0,0,1,
809266,809266,1451613180,1,0,0,0,0,0,1,
809267,809267,1451619720,1,0,0,0,0,0,1,
809269,809269,1451636220,1,0,0,0,0,0,1,
809270,809270,1451646600,1,0,0,0,0,0,1,
809271,809271,1451652240,1,0,0,0,0,0,1,
809272,809271,1451652240,1,0,0,0,0,0,1,
809273,809271,1451652240,1,0,0,0,0,0,1,
809274,809271,1451652240,1,0,0,0,0,0,1,
809277,809277,1451657880,1,0,0,0,0,0,1,
809278,809278,1451663100,1,0,0,0,0,0,1,
809279,809278,1451663100,1,0,0,0,0,0,1,
809281,809281,1451668860,1,0,0,0,0,0,1,
809280,809281,1451668920,1,0,0,0,0,0,1,
809287,809287,1451674620,1,0,0,0,0,0,1,
809302,809302,1451680260,1,0,0,0,0,0,1,
809305,809305,1451686620,1,0,0,0,0,0,1,
809306,809305,1451686620,1,0,0,0,0,0,1,
809309,809309,1451691660,0,1,0,0,0,0,1,
809351,809351,1451697780,1,0,0,0,0,0,1,
809352,809352,1451703300,1,0,0,0,0,0,1,
809353,809353,1451708880,1,0,0,0,0,0,1,
809354,809354,1451715540,1,0,0,0,0,0,1,
809311,809311,1451719020,1,0,0,0,0,0,1,
809314,809314,1451728980,1,0,0,0,0,0,1,
809316,809316,1451734740,1,0,0,0,0,0,1,
809317,809317,1451740680,1,0,0,0,0,0,1,
809315,809315,1451746920,1,0,0,0,0,0,1,
809318,809318,1451752020,1,0,0,0,0,0,0,
809322,809322,1451757900,1,0,0,0,0,0,1,
809324,809324,1451763480,1,0,0,0,0,0,1,
809323,809324,1451763540,1,0,0,0,0,0,1,
809331,809331,1451770140,1,0,0,0,0,0,1,
809339,809339,1451775300,1,0,0,0,0,0,1,
809346,809346,1451780940,1,0,0,0,0,0,1,
809347,809347,1451785260,1,0,0,0,0,0,1,180
809362,809362,1451813820,1,0,0,0,0,0,1,
809363,809363,1451818860,1,0,0,0,0,0,1,
809348,809348,1451825400,1,0,0,0,0,0,1,
809358,809358,1451830740,1,0,0,0,0,0,1,
809360,809360,1451836260,1,0,0,0,0,0,1,
809365,809365,1451842260,1,0,0,0,0,0,1,
809366,809365,1451842260,1,0,0,0,0,0,1,
809367,809365,1451842260,1,0,0,0,0,0,1,
809370,809370,1451847720,1,0,0,0,0,0,1,
809379,809379,1451853180,1,0,0,0,0,0,1,
809381,809381,1451858940,1,0,0,0,0,0,1,
809382,809381,1451858940,1,0,0,0,0,0,1,
809385,809385,1451864280,1,0,0,0,0,0,1,
809386,809386,1451869860,1,0,0,0,0,0,1,
809389,809389,1451875500,1,0,0,0,0,0,1,
809390,809390,1451880780,1,0,0,0,0,0,1,
809392,809392,1451886300,1,0,0,0,0,0,1,
809393,809393,1451891700,1,0,0,0,0,0,1,
809395,809395,1451903100,1,0,0,0,0,0,1,
809397,809397,1451908920,1,0,0,0,0,0,1,
809398,809398,1451914080,0,1,0,0,0,0,1,
809399,809399,1451919720,1,0,0,0,0,0,1,
809400,809399,1451919720,1,0,0,0,0,0,1,
809401,809399,1451919720,1,0,0,0,0,0,1,
809404,809404,1451925540,1,0,0,0,0,0,1,
809402,809404,1451925660,0,0,1,0,0,0,1,
809403,809404,1451925660,0,0,1,0,0,0,1,
809421,809421,1451931300,1,0,0,0,0,0,1,
809428,809428,1451937900,1,0,0,0,0,0,1,
809431,809431,1451943240,1,0,0,0,0,0,1,
809438,809438,1451948520,1,0,0,0,0,0,1,
809439,809439,1451954340,1,0,0,0,0,0,1,
809440,809440,1451959740,1,0,0,0,0,0,1,
809443,809443,1451965500,1,0,0,0,0,0,1,
809446,809446,1451970900,1,0,0,0,0,0,1,
809447,809447,1451976840,1,0,0,0,0,0,1,
809448,809448,1451982600,1,0,0,0,0,0,1,
809451,809451,1451987880,1,0,0,0,0,0,1,
809453,809453,1451993580,1,0,0,0,0,0,1,
809456,809456,1451999100,1,0,0,0,0,0,1,
809457,809456,1451999100,1,0,0,0,0,0,1,
809461,809461,1452004440,1,0,0,0,0,0,1,
809463,809463,1452010620,1,0,0,0,0,0,1,
809471,809471,1452016020,1,0,0,0,0,0,1,
809476,809476,1452022020,1,0,0,0,0,0,1,
809482,809482,1452027480,1,0,0,0,0,0,1,
809485,809485,1452033180,1,0,0,0,0,0,1,
809489,809489,1452044100,1,0,0,0,0,0,1,
809490,809490,1452050340,1,0,0,0,0,0,1,
809492,809492,1452056340,1,0,0,0,0,0,1,
809497,809497,1452061920,1,0,0,0,0,0,1,
809503,809503,1452067680,1,0,0,0,0,0,1,
809520,809520,1452073080,1,0,0,0,0,0,1,
809521,809521,1452078840,1,0,0,0,0,0,1,
809506,809506,1452084420,1,0,0,0,0,0,1,
809508,809508,1452090480,1,0,0,0,0,0,1,
809509,809508,1452090480,1,0,0,0,0,0,1,
809511,809511,1452095400,1,0,0,0,0,0,1,
809518,809518,1452101760,1,0,0,0,0,0,1,
809525,809525,1452107580,1,0,0,0,0,0,1,
809526,809525,1452107580,1,0,0,0,0,0,1,
809533,809533,1452112800,1,0,0,0,0,0,1,
809541,809541,1452118740,1,0,0,0,0,0,1,
809544,809544,1452124560,1,0,0,0,0,0,1,
809546,809546,1452129900,1,0,0,0,0,0,1,
809547,809547,1452135540,1,0,0,0,0,0,1,
809548,809548,1452141000,1,0,0,0,0,0,1,
809552,809552,1452147540,1,0,0,0,0,0,1,
809554,809554,1452152340,1,0,0,0,0,0,1,
809555,809555,1452159360,1,0,0,0,0,0,1,
809557,809557,1452164460,1,0,0,0,0,0,1,
